arm,task,trial,reward,solved,scored,dead,model_calls,reasoning_tokens,completion_tokens,marker_hits
base_qwen38_bf16,terminal-bench/adaptive-rejection-sampler,adaptive-rejection-sampler__N3Fciho,1.0,1,1,0,4,99152,109358,1261
base_qwen38_bf16,terminal-bench/adaptive-rejection-sampler,adaptive-rejection-sampler__cdkeD3R,1.0,1,1,0,23,87478,105650,1209
base_qwen38_bf16,terminal-bench/adaptive-rejection-sampler,adaptive-rejection-sampler__oaWJBhY,1.0,1,1,0,6,99518,118807,1340
base_qwen38_bf16,terminal-bench/adaptive-rejection-sampler,adaptive-rejection-sampler__uhbxDJX,1.0,1,1,0,21,91160,110468,432
base_qwen38_bf16,terminal-bench/adaptive-rejection-sampler,adaptive-rejection-sampler__woXuo6J,0.0,0,1,0,29,88446,110463,776
base_qwen38_bf16,terminal-bench/bn-fit-modify,bn-fit-modify__JVbMMjk,1.0,1,1,0,15,24565,31768,285
base_qwen38_bf16,terminal-bench/bn-fit-modify,bn-fit-modify__JjMPweB,1.0,1,1,0,15,19761,29528,251
base_qwen38_bf16,terminal-bench/bn-fit-modify,bn-fit-modify__PzoWbbJ,1.0,1,1,0,26,21777,33018,288
base_qwen38_bf16,terminal-bench/bn-fit-modify,bn-fit-modify__mmjVb4Z,1.0,1,1,0,13,4108,8635,33
base_qwen38_bf16,terminal-bench/bn-fit-modify,bn-fit-modify__qXaJWXD,1.0,1,1,0,13,7617,16687,59
base_qwen38_bf16,terminal-bench/break-filter-js-from-html,break-filter-js-from-html__976YPVH,1.0,1,1,0,6,6051,7676,148
base_qwen38_bf16,terminal-bench/break-filter-js-from-html,break-filter-js-from-html__AUuaKUR,1.0,1,1,0,13,7789,11338,144
base_qwen38_bf16,terminal-bench/break-filter-js-from-html,break-filter-js-from-html__MbXrNpU,1.0,1,1,0,9,20987,23382,322
base_qwen38_bf16,terminal-bench/break-filter-js-from-html,break-filter-js-from-html__bUQacyp,1.0,1,1,0,17,26908,33703,543
base_qwen38_bf16,terminal-bench/break-filter-js-from-html,break-filter-js-from-html__bmLqfZK,1.0,1,1,0,12,13016,16099,224
base_qwen38_bf16,terminal-bench/build-cython-ext,build-cython-ext__DXzAmdv,1.0,1,1,0,33,21310,31722,230
base_qwen38_bf16,terminal-bench/build-cython-ext,build-cython-ext__JhYHHYD,1.0,1,1,0,50,25051,38803,298
base_qwen38_bf16,terminal-bench/build-cython-ext,build-cython-ext__WEEuVWj,1.0,1,1,0,32,72296,87740,845
base_qwen38_bf16,terminal-bench/build-cython-ext,build-cython-ext__jJYAwv7,1.0,1,1,0,38,24372,36893,242
base_qwen38_bf16,terminal-bench/build-cython-ext,build-cython-ext__rniCFvb,1.0,1,1,0,35,28334,41988,288
base_qwen38_bf16,terminal-bench/build-pmars,build-pmars__FjDQVvA,1.0,1,1,0,13,2006,4918,13
base_qwen38_bf16,terminal-bench/build-pmars,build-pmars__QgVMU43,1.0,1,1,0,14,15314,20422,367
base_qwen38_bf16,terminal-bench/build-pmars,build-pmars__aoGCNAp,1.0,1,1,0,26,11905,19624,194
base_qwen38_bf16,terminal-bench/build-pmars,build-pmars__bPcX9Mp,1.0,1,1,0,19,2241,6269,10
base_qwen38_bf16,terminal-bench/build-pmars,build-pmars__pWGN6nw,1.0,1,1,0,15,18519,24060,511
base_qwen38_bf16,terminal-bench/build-pov-ray,build-pov-ray__GP42wJV,1.0,1,1,0,59,24472,44543,704
base_qwen38_bf16,terminal-bench/build-pov-ray,build-pov-ray__KbiNgBy,1.0,1,1,0,56,35931,55401,518
base_qwen38_bf16,terminal-bench/build-pov-ray,build-pov-ray__bw7N3nV,,0,0,0,59,35997,60166,994
base_qwen38_bf16,terminal-bench/build-pov-ray,build-pov-ray__cdRvuE8,1.0,1,1,0,56,49618,70438,1086
base_qwen38_bf16,terminal-bench/build-pov-ray,build-pov-ray__rgt8DkT,0.0,0,1,0,49,32074,61233,801
base_qwen38_bf16,terminal-bench/caffe-cifar-10,caffe-cifar-10__7pud9AA,1.0,1,1,0,69,56678,72778,722
base_qwen38_bf16,terminal-bench/caffe-cifar-10,caffe-cifar-10__FkquBQA,1.0,1,1,0,63,67838,87630,1007
base_qwen38_bf16,terminal-bench/caffe-cifar-10,caffe-cifar-10__QZfYEaK,1.0,1,1,0,65,15376,29537,226
base_qwen38_bf16,terminal-bench/caffe-cifar-10,caffe-cifar-10__S3spLuc,1.0,1,1,0,60,9819,20760,122
base_qwen38_bf16,terminal-bench/caffe-cifar-10,caffe-cifar-10__hdsFTNW,1.0,1,1,0,56,66129,86159,983
base_qwen38_bf16,terminal-bench/cancel-async-tasks,cancel-async-tasks__7rRonEX,0.0,0,1,0,5,3998,6867,44
base_qwen38_bf16,terminal-bench/cancel-async-tasks,cancel-async-tasks__EWdDXCX,0.0,0,1,0,5,76152,78925,1461
base_qwen38_bf16,terminal-bench/cancel-async-tasks,cancel-async-tasks__Mk5Tne3,1.0,1,1,0,2,57012,58494,1109
base_qwen38_bf16,terminal-bench/cancel-async-tasks,cancel-async-tasks__P87D85V,0.0,0,1,0,4,3980,6639,62
base_qwen38_bf16,terminal-bench/cancel-async-tasks,cancel-async-tasks__bxmEqh5,1.0,1,1,0,5,6834,9955,91
base_qwen38_bf16,terminal-bench/chess-best-move,chess-best-move__WWxwLk6,1.0,1,1,0,29,44279,64552,969
base_qwen38_bf16,terminal-bench/chess-best-move,chess-best-move__XZytP8o,0.0,0,1,0,56,53950,81359,1431
base_qwen38_bf16,terminal-bench/chess-best-move,chess-best-move__nPHZV6h,0.0,0,1,0,50,68645,93313,770
base_qwen38_bf16,terminal-bench/chess-best-move,chess-best-move__namTHQr,1.0,1,1,0,54,80686,100607,1222
base_qwen38_bf16,terminal-bench/chess-best-move,chess-best-move__veFPcch,0.0,0,1,0,31,20420,32807,530
base_qwen38_bf16,terminal-bench/circuit-fibsqrt,circuit-fibsqrt__4p8J7pg,0.0,0,1,0,9,112233,121439,1059
base_qwen38_bf16,terminal-bench/circuit-fibsqrt,circuit-fibsqrt__9suNust,1.0,1,1,0,18,85695,102718,785
base_qwen38_bf16,terminal-bench/circuit-fibsqrt,circuit-fibsqrt__EY4yLnH,1.0,1,1,0,5,118092,122673,1166
base_qwen38_bf16,terminal-bench/circuit-fibsqrt,circuit-fibsqrt__GMgaXFj,1.0,1,1,0,23,89237,107145,641
base_qwen38_bf16,terminal-bench/circuit-fibsqrt,circuit-fibsqrt__uohttwa,0.0,0,1,0,5,121110,125953,726
base_qwen38_bf16,terminal-bench/cobol-modernization,cobol-modernization__7uL6fEq,1.0,1,1,0,17,94270,110287,1114
base_qwen38_bf16,terminal-bench/cobol-modernization,cobol-modernization__EmPgZns,0.0,0,1,0,52,86251,101405,846
base_qwen38_bf16,terminal-bench/cobol-modernization,cobol-modernization__ZMPoeq8,1.0,1,1,0,22,26294,38934,289
base_qwen38_bf16,terminal-bench/cobol-modernization,cobol-modernization__aLvHM58,1.0,1,1,0,35,74137,94507,988
base_qwen38_bf16,terminal-bench/cobol-modernization,cobol-modernization__qAWB3XW,1.0,1,1,0,24,22762,33798,206
base_qwen38_bf16,terminal-bench/code-from-image,code-from-image__H69qf5F,1.0,1,1,0,17,13160,22216,382
base_qwen38_bf16,terminal-bench/code-from-image,code-from-image__LSbkf4M,1.0,1,1,0,14,10027,18284,295
base_qwen38_bf16,terminal-bench/code-from-image,code-from-image__PNcwpuC,1.0,1,1,0,16,19579,26914,446
base_qwen38_bf16,terminal-bench/code-from-image,code-from-image__WD3qERV,1.0,1,1,0,9,2785,5810,88
base_qwen38_bf16,terminal-bench/code-from-image,code-from-image__tHr42Ch,1.0,1,1,0,13,10446,16443,248
base_qwen38_bf16,terminal-bench/compile-compcert,compile-compcert__msfMMBx,0.0,0,1,0,104,48917,65402,807
base_qwen38_bf16,terminal-bench/compile-compcert,compile-compcert__rmFoexh,0.0,0,1,0,69,66993,86706,1056
base_qwen38_bf16,terminal-bench/compile-compcert,compile-compcert__sF5z5SF,0.0,0,1,0,111,65174,89290,987
base_qwen38_bf16,terminal-bench/compile-compcert,compile-compcert__u3xiXVe,1.0,1,1,0,77,18466,33108,434
base_qwen38_bf16,terminal-bench/compile-compcert,compile-compcert__vMndTj2,1.0,1,1,0,84,26376,47183,516
base_qwen38_bf16,terminal-bench/configure-git-webserver,configure-git-webserver__NeV8PTu,1.0,1,1,0,11,26095,31014,407
base_qwen38_bf16,terminal-bench/configure-git-webserver,configure-git-webserver__Tq8tDrG,1.0,1,1,0,13,9238,14186,131
base_qwen38_bf16,terminal-bench/configure-git-webserver,configure-git-webserver__Y4KenRB,0.0,0,1,0,8,2594,5106,35
base_qwen38_bf16,terminal-bench/configure-git-webserver,configure-git-webserver__a3bsmWN,0.0,0,1,0,12,3328,7280,40
base_qwen38_bf16,terminal-bench/configure-git-webserver,configure-git-webserver__hXsLtuZ,0.0,0,1,0,9,1709,4450,18
base_qwen38_bf16,terminal-bench/constraints-scheduling,constraints-scheduling__PKmhCXR,1.0,1,1,0,5,7706,11054,68
base_qwen38_bf16,terminal-bench/constraints-scheduling,constraints-scheduling__Wcor2JQ,1.0,1,1,0,5,5640,9282,44
base_qwen38_bf16,terminal-bench/constraints-scheduling,constraints-scheduling__YcnJzMW,1.0,1,1,0,5,11395,14889,100
base_qwen38_bf16,terminal-bench/constraints-scheduling,constraints-scheduling__kPtUDSP,1.0,1,1,0,7,14929,20140,127
base_qwen38_bf16,terminal-bench/constraints-scheduling,constraints-scheduling__xsUnGVT,1.0,1,1,0,6,8322,13854,71
base_qwen38_bf16,terminal-bench/count-dataset-tokens,count-dataset-tokens__JzfQ8x4,1.0,1,1,0,19,10052,17368,181
base_qwen38_bf16,terminal-bench/count-dataset-tokens,count-dataset-tokens__PTXG5UB,1.0,1,1,0,17,4171,9216,66
base_qwen38_bf16,terminal-bench/count-dataset-tokens,count-dataset-tokens__ckqaZ6f,1.0,1,1,0,13,6886,10857,114
base_qwen38_bf16,terminal-bench/count-dataset-tokens,count-dataset-tokens__n53wVgK,1.0,1,1,0,13,2674,6570,36
base_qwen38_bf16,terminal-bench/count-dataset-tokens,count-dataset-tokens__zKbKuPL,1.0,1,1,0,27,11337,19867,194
base_qwen38_bf16,terminal-bench/crack-7z-hash,crack-7z-hash__Ezbo7Rq,1.0,1,1,0,30,26835,35536,747
